Mandarinai Nadarcott, 1 kl., 1kg;2,49;€/kg
Mandarinai SINFONIA, 1kl., 1,5kg;4,69;€/vnt.
Mandarinai RIMI NADORCOTT, 1 kl., 750g;2,69;€/vnt.
Sicilijos mandarinų marmeladas, 240 g;3,49;€/vnt.
Mandarinai ICA, 312g/175g;1,99;€/vnt.
Mandar. sultys DON SIMON PREMIUM, 100 %, 1 l;3,69;€/vnt.
Apels. citrinų ir mandarinų marmeladas, 240 g;3,49;€/vnt.
Mandarinų nektaras ELMENHORSTER, 50 %, 1 l;2,25;€/vnt.
Kiet.dušo gelis su šaltal.ir mand.,2x30g;4,99;€/vnt.
Jogurtas brašk., YUZU mand. GEFILUS,2,1%,380g;2,25;€/vnt.
Citr. sk. plomb. NYKŠTUKAS su YUZU gl. 80 ml;1,29;€/vnt.
Gaz. mandarinų sk.gėrimas SEICHA MATCHA,0,33l;2,79;€/vnt.
Ekol.mandarin.Ciaculli, 1kl.,750g;Nėra;Nėra
Fasuoti mandarinai NADARCOTT, 1 kl., 1 kg;Nėra;Nėra
Knyga DOMAS IR TOMAS. DINGUSIŲ MANDARINŲ BYLA;Nėra;Nėra